gene_name	known_status	single_exon	pval	qval	esti_log2FC
CAMK2D	1	0	0.002143631106143985	0.024215745984312857	-0.5375250124834785
CAMK2N1	1	0	1.7777094939967606e-29	2.2612464763638794e-26	-2.1904627706545887
CAMSAP2	1	0	0.003486989904287386	0.03486689874908338	0.4303540741794098
CAMSAP3	1	0	3.454785351916082e-6	1.3544651612580586e-4	-3.2786387263566854
CAP1	1	0	1.5389122180686267e-4	0.0031822278433659705	0.47252742844629697
CAPG	1	0	3.0410751881369965e-5	8.649497827029152e-4	0.7650301534061413
CAPN10-AS1	1	1	2.7938951621923577e-4	0.005084978031284278	-1.2172342593489114
CAPN2	1	0	2.2908418886247024e-5	6.83847664692975e-4	0.5562996646218432
CAPN5	1	0	1.3953622122659351e-13	2.931028735049619e-11	1.3974209210378832
CARKD	1	0	0.0024011224134723227	0.02637050808421967	-0.6528698337431483
CARS2	1	0	1.7032769651447485e-4	0.003426909437078573	0.6295928732738454
CASC10	1	0	1.5183413597318955e-4	0.003146058259947645	-1.7509894155723977
CASD1	1	0	8.08722364476347e-6	2.848693424161606e-4	-0.8430556822395484
CASK	1	0	6.254480800423422e-4	0.009610912242046623	0.5868930117138332
CASKIN1	1	0	0.0022071881168073833	0.024748177826847132	-3.0507439031688506
CASP4	1	0	5.271270717921559e-5	0.0013425029405732148	1.7478210199774336
CBLN2	1	0	0.001252884700153722	0.016291899073065608	-2.748242767110544
CBX4	1	0	9.06120250247781e-5	0.002112681186321099	-0.9209781634180408
CBX8	1	0	1.5871684519600586e-5	5.119706211784679e-4	-1.0550708078350646
CCDC107	1	0	6.073481796966133e-4	0.009413780997203249	0.7151957676338043
CCDC121	1	0	4.4829809326837326e-5	0.0011750660297978207	-1.2647064301428066
CCDC147-AS1	1	0	6.558857746516809e-5	0.0016164866196366936	3.36588828915153
CCDC15	1	0	0.004829576196540923	0.04405497075537887	0.892765900737453
CCDC3	1	0	8.492697505210112e-4	0.012160650536541008	-2.5809798417046537
CCDC34	1	0	0.0022875986022043377	0.02538424457193698	-0.44239282013163883
CCDC50	1	0	0.002038862136689266	0.023305934838560877	0.6188397842416642
CCDC53	1	0	1.95299903875304e-4	0.003821868888144411	0.6015217211778818
CCDC90B	1	0	0.005291006969408032	0.04718332786403304	0.3920517682589642
CCL26	1	0	1.1647818640329014e-10	1.389002372859235e-8	1.934215881847922
CCNB1IP1	1	0	0.005683296867491828	0.04976090442756899	0.42169649356611405
CCND3	1	0	0.0012266185860793396	0.01604837665535575	-1.2309286087102724
CCND3	1	1	0.0012266185860793396	0.01604837665535575	-1.2309286087102724
CCNDBP1	1	0	2.7328696308179153e-4	0.004989775364211084	0.5488125181633104
CCNE2	1	0	0.004084978572968627	0.03908469260622218	0.6729827522138712
CCNG1	1	0	0.0052134419444856755	0.04675556864901842	0.6001167155516633
CCNH	1	0	0.004769777412536151	0.04370484219659165	0.44828945421641214
CCNT1	1	0	0.0023706349599963445	0.02614550002123136	-0.49181335990687886
CCSER2	1	0	7.622723954994093e-4	0.011173488327371623	0.6939570603509855
CD109	1	0	2.2415298279883833e-4	0.0042590926922507905	0.4567056323419102
CD151	1	0	0.002985757721575922	0.03110186933266711	0.36290808548501713
CD44	1	0	9.56922067364508e-5	0.002206413661065234	0.7003230112511912
CD47	1	0	0.0020722561133518984	0.023586550512682738	0.5838153113943759
CD68	1	0	4.172986500628113e-4	0.006958827306509924	2.0174899657770635
CD70	1	0	0.0029824013791393085	0.031081047781872376	1.807712049259198
CD82	1	0	0.0026554380839415442	0.0283709334437357	2.8814535879953413
CD83	1	0	0.002854776498271977	0.029982512416496958	1.6369826444696118
CDA	1	0	1.2986035887865542e-4	0.002776174394851255	1.6599858985424345
CDC42EP3	1	0	1.6514209100891767e-8	1.253017896542098e-6	1.5821194237150007
CDCP1	1	0	3.9531260415161966e-45	1.1313846730819355e-41	2.574376690274312
CDH1	1	0	1.3197499438289645e-4	0.0028088755847298125	-3.3586843747144584
CDH17	1	0	3.4472131685766845e-16	9.865924088466471e-14	-4.2611139883675895
CDH2	1	0	0.0016604310707668312	0.020213075111113487	0.5942707207285852
CDH6	1	0	1.9372820048807583e-5	5.969853133748296e-4	5.299063227261134
CDK15	1	0	0.0019852451862923627	0.022875779459159504	4.385842081763832
CDKL5	1	0	0.0030639689440041663	0.0316859227379943	-0.6698411724019463
CDKL5	1	1	0.0030639689440041663	0.0316859227379943	-0.6698411724019463
CDKN1A	1	0	0.0019994455215276365	0.02300467570899335	0.9074685740361693
CDKN1B	1	0	4.334343564403508e-8	2.99714993660146e-6	-1.081498368818141
CDX2	1	0	7.022247595609171e-5	0.0017086225393099638	-3.6038029439265036
CEACAM1	1	0	4.5298473902798066e-4	0.007408241846274748	-2.2555174666801383
CEACAM6	1	0	1.2104713310073672e-7	7.2362797897505685e-6	-4.22662897363886
CEBPA	1	1	4.5436000876019066e-4	0.0074181102860549665	-2.1755120248769306
CEBPB	1	1	3.36461491890268e-4	0.005871663352377727	-1.794449136577847
CENPF	1	0	0.004305537433911316	0.04067583682408622	-0.46924009377773623
CENPI	1	0	1.9549757252433378e-4	0.0038224700431401764	0.7970941762625393
CEP44	1	0	2.513172264514952e-4	0.004655468622033522	-0.9534323202445303
CEP85	1	0	0.0036167873117102277	0.03577104202545027	-0.6849898406573344
CEP85L	1	0	0.0013717572766899326	0.017430482596883515	1.092236239716638
CES1	1	0	3.318217789651584e-29	3.9986270795717194e-26	-4.430438414533908
CFD	1	0	2.1892501999357192e-4	0.004184062819509869	-1.880562158201892
CFL1	1	0	7.692351918099569e-5	0.0018519883229948235	0.5131973748981902
CFL1	1	1	7.692351918099569e-5	0.0018519883229948235	0.5131973748981902
CFL2	1	0	0.0012525021432799506	0.016291899073065608	0.646473464169914
CFLAR	1	0	1.2098433378754827e-7	7.2362797897505685e-6	0.770722482184176
CH17-472G23.4	1	0	6.876014462365832e-5	0.001681978922332565	1.4950663243097557
CH507-254M2.2	1	0	1.5894305805246947e-4	0.003255062841833042	-2.9736072674554954
CHCHD5	1	0	0.0011494603711376292	0.015310089969498057	0.6184845481158283
CHD1L	1	0	0.0013597548591090356	0.017334603148196258	0.42849390783575536
CHD3	1	0	1.6892108639606487e-5	5.364049350135491e-4	-0.7411355917899694
CHD9	1	0	0.0036849063191241364	0.036179080224127885	0.5670420857856746
CHI3L2	1	0	2.513492257451922e-7	1.3617323448811456e-5	4.256626448163347
CHMP1B	1	0	0.004326050994787439	0.040794589611471664	-0.4190055292245372
CHMP1B	1	1	0.004326050994787439	0.040794589611471664	-0.4190055292245372
CHMP2B	1	0	4.0924079698876465e-7	2.0730038247466273e-5	-0.7458632265647019
CHORDC1	1	0	5.440981374041443e-7	2.7081893378272364e-5	-0.6632688160728505
CHPF	1	0	1.678999731375844e-7	9.539051575578492e-6	1.3386845917963541
CHPT1	1	0	1.066281090807462e-4	0.0023864684120359385	-0.6194009565596005
CHRNB2	1	0	0.002882132214226328	0.030201052254886045	-1.6908342990686873
CHST14	1	0	0.0031218245697437067	0.032182483272783384	0.5292183584276605
CHST14	1	1	0.0031218245697437067	0.032182483272783384	0.5292183584276605
CHST15	1	0	3.4096560876615135e-4	0.005927675458094002	1.1954442690960554
CHST2	1	0	0.0017389436079946502	0.02099939496236578	1.9134909120852415
CIDEC	1	0	1.3498063230951296e-9	1.3614610384839687e-7	-4.295449622769328
CIDECP	1	0	0.0016154307731527362	0.019815558929271844	0.7019656119337346
CIRBP	1	0	4.633009679441086e-8	3.166489242402481e-6	0.8075328472925294
CITED2	1	0	1.3842486854565764e-7	8.064569440766865e-6	1.2273010093269292
CKLF	1	0	9.945283041884768e-6	3.424168428977348e-4	0.7126567549503974
CKMT1A	1	0	0.004161267615773613	0.039632438989497774	-2.1073737623831703
CKMT1B	1	0	3.377295707067202e-5	9.464695533538635e-4	-1.9603106062697961
CKS2	1	0	0.004209643637949141	0.03997677342782395	-0.35071235717850807
CLDN1	1	0	9.435394800480216e-5	0.002188782161618997	-0.509702034215388
CLDN11	1	0	3.778394021052824e-4	0.0064129065608617836	2.428094123630362
CLIC1	1	0	8.64980926601996e-6	3.023603556561725e-4	0.7102595717446666
CLIP1	1	0	0.0018275254523465443	0.021725349302661724	-0.4279302544443843
CLIP4	1	0	0.00196992888439779	0.0227795412813999	0.7082605593389839
CLK1	1	0	4.725734428768926e-4	0.00764127227973823	-0.5682079938012168
CLK4	1	0	5.548371186750029e-7	2.7503798525482734e-5	-1.0163375469349671
CLMN	1	0	0.003143037216709506	0.03229936270816017	1.0142751010307005
CLMP	1	0	1.2067093603480055e-18	4.847160967461041e-16	1.5998202415653515
CLU	1	0	0.0010071122137527283	0.013907624394500885	-0.737020710285905
CLVS1	1	0	2.864810050544679e-6	1.1399382685845949e-4	-4.121924980781589
CMTM3	1	0	0.0024616492329390446	0.026797936953703357	0.5640515397726327
CMTM8	1	0	1.2459492651721119e-5	4.1318377188961003e-4	-1.5708463158828563
CNIH3	1	0	0.005399293178075487	0.04788972502341733	1.9205377638910515
CNN2	1	0	4.07831132689734e-6	1.5667284587355957e-4	0.6154205723200791
CNN2	1	1	4.07831132689734e-6	1.5667284587355957e-4	0.6154205723200791
CNPPD1	1	0	0.004796572202707499	0.04385875285670563	0.4222076462832658
CNTNAP3	1	0	0.004556562435900303	0.04239213877788433	-1.0947056493225609
CNTNAP3B	1	0	0.003450645367134179	0.034651744002589545	-1.9133965128322536
COL11A1	1	0	1.8704946431425348e-15	4.758538372154609e-13	2.222279398475406
COL13A1	1	0	9.181753694106086e-6	3.185233826973529e-4	4.049086851028996
COL20A1	1	0	3.0536994500042703e-4	0.005466575653424377	-3.1990730049832212
COL3A1	1	0	3.306501693158038e-5	9.27765475080226e-4	2.6322118494067093
COL4A5	1	0	0.004509122480338032	0.04208759409287386	0.7566109473717637
COL4A6	1	0	0.002231055910723078	0.024946663110654483	0.9958902459203152
COL7A1	1	0	0.005246870346992437	0.046926696665913606	0.5796592231644654
COMMD1	1	0	0.0022803387162035173	0.025357277924330127	0.5361002463305058
COMMD3	1	0	0.0014124535286044867	0.01782774861682929	0.593800982416515
COMMD7	1	0	0.0011628401639159876	0.015434428053924901	0.5315258389444246
COPA	1	0	3.1775983872836455e-06	1.2565508234066726e-4	0.8844654094418802
CORO1A	1	0	0.0014565296616622248	0.01828328022665477	1.0589882042796293
CORO1B	1	0	0.0021054322713555274	0.023852537003936743	0.4691724967521348
CORO1C	1	0	0.004165302234549345	0.03965437004667019	0.7649065751169983
CORO2B	1	0	3.383829668548e-13	6.456347007589584e-11	2.873907812444243
COTL1	1	0	6.319108992885844e-4	0.009658365787791341	0.4102380356787901
COX7A2L	1	0	1.872537353082658e-4	0.0036844488074626075	0.4754128927383526
CPLX2	1	0	1.1918888667245414e-9	1.2128661107788935e-7	-6.690157740247592
CPN1	1	0	5.944291308712146e-8	3.899727616168289e-6	-4.36174602725088
CPT1A	1	0	0.003453256182890566	0.034662759124709515	0.5883356318102246
CPT1C	1	0	1.8138413245208155e-5	5.689001502223095e-4	1.2545946426882422
CRB3	1	0	3.266660956577285e-4	0.005735695495536312	-1.9419408010026724
CREB3	1	0	3.2019945788679766e-14	7.558027616264041e-12	1.028704394650129
CREB3L1	1	0	9.363011305126724e-5	0.002177882820447273	3.6767356007119054
CREB5	1	0	4.8468578678491174e-4	0.007809546639146615	3.120588448932907
CREBZF	1	0	1.496889822346842e-10	1.7486117026761883e-8	-1.0188518977093146
CREBZF	1	1	1.496889822346842e-10	1.7486117026761883e-8	-1.0188518977093146
CRHR1-IT1	1	0	0.0010179686594833743	0.014032155585509536	-1.0951582685831283
CRHR1-IT1	1	1	0.0010179686594833743	0.014032155585509536	-1.0951582685831283
CRIP1	1	0	1.2015024741283097e-6	5.372968876492535e-5	0.6215739262432067
